"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "JavaScript", "comment", "blank", "total"
"d:\typescript-algorithms\src\leetcode\main\538. Convert BST to Greater Tree\firstSubmission.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 4, 19
"d:\typescript-algorithms\src\leetcode\main\54. Spiral Matrix\firstSubmission.ts", "TypeScript", 0, 0, 0, 37, 0, 0, 1, 38
"d:\typescript-algorithms\src\leetcode\main\543. Diameter of Binary Tree\TreeNode.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 1, 11
"d:\typescript-algorithms\src\leetcode\main\543. Diameter of Binary Tree\firstSubmisison.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 3, 18
"d:\typescript-algorithms\src\leetcode\main\55. Jump Game\firstSubmission.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 1, 11
"d:\typescript-algorithms\src\leetcode\main\56. Merge Intervals\firstSubmission.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 1, 14
"d:\typescript-algorithms\src\leetcode\main\560. Subarray Sum Equals K\firstSubmission.ts", "TypeScript", 0, 0, 0, 18, 0, 1, 1, 20
"d:\typescript-algorithms\src\leetcode\main\581. Shortest Unsorted Continuous Subarray\firstSubmission.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 1, 23
"d:\typescript-algorithms\src\leetcode\main\6. ZigZag Conversion\firstSubmission.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 1, 24
"d:\typescript-algorithms\src\leetcode\main\617. Merge Two Binary Trees\TreeNode.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 1, 11
"d:\typescript-algorithms\src\leetcode\main\617. Merge Two Binary Trees\firstSubmission.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 2, 18
"d:\typescript-algorithms\src\leetcode\main\62. Unique Paths\firstSubmission.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 1, 16
"d:\typescript-algorithms\src\leetcode\main\63. Unique Paths II\firstSubmission.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 1, 27
"d:\typescript-algorithms\src\leetcode\main\67. Add Binary\firstSubmission.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 1, 27
"d:\typescript-algorithms\src\leetcode\main\674. Longest Continuous Increasing Subsequence\firstSubmission.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 1, 15
"d:\typescript-algorithms\src\leetcode\main\695. Max Area of Island\firstSubmission.ts", "TypeScript", 0, 0, 0, 37, 0, 0, 3, 40
"d:\typescript-algorithms\src\leetcode\main\7. Reverse Integer\finalSubmission.ts", "TypeScript", 0, 0, 0, 18, 0, 1, 1, 20
"d:\typescript-algorithms\src\leetcode\main\7. Reverse Integer\firstSubmission.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 1, 14
"d:\typescript-algorithms\src\leetcode\main\72. Edit Distance\firstSubmission.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 3, 27
"d:\typescript-algorithms\src\leetcode\main\739. Daily Temperatures\firstSubmission.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 1, 20
"d:\typescript-algorithms\src\leetcode\main\75. Sort Colors\finalSubmission.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 1, 18
"d:\typescript-algorithms\src\leetcode\main\75. Sort Colors\firstSubmission.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 1, 17
"d:\typescript-algorithms\src\leetcode\main\76. Minimum Window Substring\firstSubmission.ts", "TypeScript", 0, 0, 0, 45, 0, 0, 1, 46
"d:\typescript-algorithms\src\leetcode\main\779. K-th Symbol in Grammar\firstSubmission.ts", "TypeScript", 0, 0, 0, 10, 0, 1, 1, 12
"d:\typescript-algorithms\src\leetcode\main\78. Subsets\firstSubmission.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 1, 14
"d:\typescript-algorithms\src\leetcode\main\79. Word Search\firstSubmission.ts", "TypeScript", 0, 0, 0, 45, 0, 0, 4, 49
"d:\typescript-algorithms\src\leetcode\main\84. Largest Rectangle in Histogram\firstSubmission.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 1, 27
"d:\typescript-algorithms\src\leetcode\main\859. Buddy Strings\firstSubmission.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 1, 29
"d:\typescript-algorithms\src\leetcode\main\88. Merge Sorted Array\firstSubmission.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 1, 22
"d:\typescript-algorithms\src\leetcode\main\90. Subsets II\firstSubmission.ts", "TypeScript", 0, 0, 0, 33, 0, 1, 1, 35
"d:\typescript-algorithms\src\leetcode\main\92. Reverse Linked List II\ListNode.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 1, 9
"d:\typescript-algorithms\src\leetcode\main\92. Reverse Linked List II\firstSubmission.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 2, 28
"d:\typescript-algorithms\src\leetcode\main\93. Restore IP Addresses\firstSubmission.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 3, 31
"d:\typescript-algorithms\src\leetcode\main\938. Range Sum of BST\TreeNode.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 1, 11
"d:\typescript-algorithms\src\leetcode\main\938. Range Sum of BST\finalSubmission.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 2, 23
"d:\typescript-algorithms\src\leetcode\main\938. Range Sum of BST\firstSubmission.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 2, 30
"d:\typescript-algorithms\src\leetcode\main\94. Binary Tree Inorder Traversal\TreeNode.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 1, 11
"d:\typescript-algorithms\src\leetcode\main\94. Binary Tree Inorder Traversal\finalSubmission.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 2, 16
"d:\typescript-algorithms\src\leetcode\main\94. Binary Tree Inorder Traversal\firstSubmission.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 2, 17
"d:\typescript-algorithms\src\leetcode\main\96. Unique Binary Search Trees\firstSubmission.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 1, 14
"d:\typescript-algorithms\src\leetcode\main\98. Validate Binary Search Tree\TreeNode.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 1, 11
"d:\typescript-algorithms\src\leetcode\main\98. Validate Binary Search Tree\firstSubmission.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 2, 20
"d:\typescript-algorithms\src\leetcode\main\剑指 Offer 03. 数组中重复的数字\firstSubmission.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 1, 11
"d:\typescript-algorithms\src\leetcode\main\剑指 Offer 55 - II. 平衡二叉树\TreeNode.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 1, 11
"d:\typescript-algorithms\src\leetcode\main\剑指 Offer 55 - II. 平衡二叉树\firstSubmission.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 7, 29
"d:\typescript-algorithms\src\leetcode\main\面试题 01.06. Compress String LCCI\firstSubmission.ts", "TypeScript", 0, 0, 0, 15, 0, 1, 1, 17
"d:\typescript-algorithms\src\leetcode\main\面试题 16.26. Calculator LCCI\firstSubmission.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 1, 40
"d:\typescript-algorithms\src\leetcode\top\1. Two Sum\firstSubmission.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 1, 12
"d:\typescript-algorithms\src\leetcode\top\10. Regular Expression Matching\firstSubmission.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 1, 4
"d:\typescript-algorithms\src\leetcode\top\101. Symmetric Tree\TreeNode.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 1, 11
"d:\typescript-algorithms\src\leetcode\top\101. Symmetric Tree\firstSubmission.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 9, 36
"d:\typescript-algorithms\src\leetcode\top\102. Binary Tree Level Order Traversal\TreeNode.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 1, 11
"d:\typescript-algorithms\src\leetcode\top\102. Binary Tree Level Order Traversal\firstSubmission.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 4, 31
"d:\typescript-algorithms\src\leetcode\top\103. Binary Tree Zigzag Level Order Traversal\TreeNode.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 1, 11
"d:\typescript-algorithms\src\leetcode\top\103. Binary Tree Zigzag Level Order Traversal\firstSubmission.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 3, 36
"d:\typescript-algorithms\src\leetcode\top\104. Maximum Depth of Binary Tree\TreeNode.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 1, 11
"d:\typescript-algorithms\src\leetcode\top\104. Maximum Depth of Binary Tree\firstSubmission.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 5, 17
"d:\typescript-algorithms\src\leetcode\top\104. Maximum Depth of Binary Tree\secondSubmission.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 2, 26
"d:\typescript-algorithms\src\leetcode\top\105. Construct Binary Tree from Preorder and Inorder Traversal\TreeNode.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 1, 11
"d:\typescript-algorithms\src\leetcode\top\105. Construct Binary Tree from Preorder and Inorder Traversal\firstSubmission.ts", "TypeScript", 0, 0, 0, 28, 0, 1, 3, 32
"d:\typescript-algorithms\src\leetcode\top\108. Convert Sorted Array to Binary Search Tree\TreeNode.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 1, 11
"d:\typescript-algorithms\src\leetcode\top\108. Convert Sorted Array to Binary Search Tree\firstSubmission.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 4, 18
"d:\typescript-algorithms\src\leetcode\top\11. Container With Most Water\firstSubmission.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 1, 16
"d:\typescript-algorithms\src\leetcode\top\116. Populating Next Right Pointers in Each Node\Node.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 1, 18
"d:\typescript-algorithms\src\leetcode\top\116. Populating Next Right Pointers in Each Node\finalSubmission.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 2, 11
"d:\typescript-algorithms\src\leetcode\top\116. Populating Next Right Pointers in Each Node\firstSubmission.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 6, 31
"d:\typescript-algorithms\src\leetcode\top\118. Pascal's Triangle\firstSubmission.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 2, 18
"d:\typescript-algorithms\src\leetcode\top\121. Best Time to Buy and Sell Stock\firstSubmission.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 1, 13
"d:\typescript-algorithms\src\leetcode\top\122. Best Time to Buy and Sell Stock II\finalSubmission.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 1, 10
"d:\typescript-algorithms\src\leetcode\top\122. Best Time to Buy and Sell Stock II\firstSubmission.ts", "TypeScript", 0, 0, 0, 11, 0, 5, 1, 17
"d:\typescript-algorithms\src\leetcode\top\124. Binary Tree Maximum Path Sum\TreeNode.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 1, 11
"d:\typescript-algorithms\src\leetcode\top\124. Binary Tree Maximum Path Sum\firstSubmission.ts", "TypeScript", 0, 0, 0, 18, 0, 2, 6, 26
"d:\typescript-algorithms\src\leetcode\top\125. Valid Palindrome\firstSubmission.ts", "TypeScript", 0, 0, 0, 25, 0, 1, 2, 28
"d:\typescript-algorithms\src\leetcode\top\127. Word Ladder\firstSubmission.ts", "TypeScript", 0, 0, 0, 23, 0, 1, 2, 26
"d:\typescript-algorithms\src\leetcode\top\128. Longest Consecutive Sequence\firstSubmission.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 1, 18
"d:\typescript-algorithms\src\leetcode\top\128. Longest Consecutive Sequence\secondSubmission.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 7, 47
"d:\typescript-algorithms\src\leetcode\top\13. Roman to Integer\finalSubmission.ts", "TypeScript", 0, 0, 0, 21, 0, 1, 1, 23
"d:\typescript-algorithms\src\leetcode\top\13. Roman to Integer\firstSubmission.ts", "TypeScript", 0, 0, 0, 45, 0, 1, 2, 48
"d:\typescript-algorithms\src\leetcode\top\130. Surrounded Regions\__test__\index.test.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 2, 20
"d:\typescript-algorithms\src\leetcode\top\130. Surrounded Regions\firstSubmission.ts", "TypeScript", 0, 0, 0, 32, 0, 4, 5, 41
"d:\typescript-algorithms\src\leetcode\top\131. Palindrome Partitioning\finalSubmisison.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 1, 29
"d:\typescript-algorithms\src\leetcode\top\131. Palindrome Partitioning\firstSubmission.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 5, 25
"d:\typescript-algorithms\src\leetcode\top\134. Gas Station\finalSubmission.ts", "TypeScript", 0, 0, 0, 24, 0, 2, 1, 27
"d:\typescript-algorithms\src\leetcode\top\134. Gas Station\firstSubmission.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 1, 25
"d:\typescript-algorithms\src\leetcode\top\136. Single Number\firstSubmission.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 1, 8
"d:\typescript-algorithms\src\leetcode\top\138. Copy List with Random Pointer\ListNode.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 1, 11
"d:\typescript-algorithms\src\leetcode\top\138. Copy List with Random Pointer\firstSubmission.ts", "TypeScript", 0, 0, 0, 18, 0, 1, 2, 21
"d:\typescript-algorithms\src\leetcode\top\139. Word Break\firstSubmission.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 1, 22
"d:\typescript-algorithms\src\leetcode\top\14. Longest Common Prefix\firstSubmission.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 1, 25
"d:\typescript-algorithms\src\leetcode\top\140. Word Break II\firstSubmission.ts", "TypeScript", 0, 0, 0, 14, 0, 3, 2, 19
"d:\typescript-algorithms\src\leetcode\top\141. Linked List Cycle\ListNode.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 1, 9
"d:\typescript-algorithms\src\leetcode\top\141. Linked List Cycle\finalSubmission.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 2, 14
"d:\typescript-algorithms\src\leetcode\top\141. Linked List Cycle\firstSubmission.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 2, 22
"d:\typescript-algorithms\src\leetcode\top\146. LRU Cache\firstSubmission.ts", "TypeScript", 0, 0, 0, 73, 0, 0, 8, 81
"d:\typescript-algorithms\src\leetcode\top\148. Sort List\ListNode.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 1, 9
"d:\typescript-algorithms\src\leetcode\top\148. Sort List\finalSubmission.ts", "TypeScript", 0, 0, 0, 59, 0, 0, 7, 66
"d:\typescript-algorithms\src\leetcode\top\148. Sort List\firstSubmission.ts", "TypeScript", 0, 0, 0, 17, 0, 11, 3, 31
"d:\typescript-algorithms\src\leetcode\top\149. Max Points on a Line\firstSubmission.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 1, 24
"d:\typescript-algorithms\src\leetcode\top\15. 3Sum\firstSubmission.ts", "TypeScript", 0, 0, 0, 32, 0, 1, 1, 34
"d:\typescript-algorithms\src\leetcode\top\150. Evaluate Reverse Polish Notation\firstSubmission.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 2, 26
"d:\typescript-algorithms\src\leetcode\top\152. Maximum Product Subarray\firstSubmission.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 1, 14
"d:\typescript-algorithms\src\leetcode\top\155. Min Stack\firstSubmission.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 5, 31
"d:\typescript-algorithms\src\leetcode\top\160. Intersection of Two Linked Lists\ListNode.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 1, 9
"d:\typescript-algorithms\src\leetcode\top\160. Intersection of Two Linked Lists\firstSubmission.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 2, 18
"d:\typescript-algorithms\src\leetcode\top\162. Find Peak Element\finalSubmission.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 1, 14
"d:\typescript-algorithms\src\leetcode\top\162. Find Peak Element\firstSubmission.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 1, 11
"d:\typescript-algorithms\src\leetcode\top\166. Fraction to Recurring Decimal\firstSubmission.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 3, 37
"d:\typescript-algorithms\src\leetcode\top\169. Majority Element\firstSubmission.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 1, 16
"d:\typescript-algorithms\src\leetcode\top\17. Letter Combinations of a Phone Number\firstSubmission.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 1, 28
"d:\typescript-algorithms\src\leetcode\top\171. Excel Sheet Column Number'\firstSubmission.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 1, 12
"d:\typescript-algorithms\src\leetcode\top\172. Factorial Trailing Zeroes\firstSubmission.ts", "TypeScript", 0, 0, 0, 8, 0, 4, 1, 13
"d:\typescript-algorithms\src\leetcode\top\179. Largest Number\firstSubmission.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 3, 18
"d:\typescript-algorithms\src\leetcode\top\189. Rotate Array\finalSubmission.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 2, 17
"d:\typescript-algorithms\src\leetcode\top\189. Rotate Array\firstSubmission.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 1, 6
"d:\typescript-algorithms\src\leetcode\top\189. Rotate Array\secondSubmission.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 1, 11
"d:\typescript-algorithms\src\leetcode\top\19. Remove Nth Node From End of List\ListNode.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 1, 11
"d:\typescript-algorithms\src\leetcode\top\19. Remove Nth Node From End of List\firstSubmission.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 2, 24
"d:\typescript-algorithms\src\leetcode\top\190. Reverse Bits\firstSubmission.ts", "TypeScript", 0, 0, 0, 11, 0, 1, 1, 13
"d:\typescript-algorithms\src\leetcode\top\190. Reverse Bits\secondSubmission.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 1, 6
"d:\typescript-algorithms\src\leetcode\top\191. Number of 1 Bits\firstSubmission.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 1, 9
"d:\typescript-algorithms\src\leetcode\top\198. House Robber\firstSubmission.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 1, 14
"d:\typescript-algorithms\src\leetcode\top\2. Add Two Numbers\ListNode.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 1, 11
"d:\typescript-algorithms\src\leetcode\top\2. Add Two Numbers\firstSubmission.ts", "TypeScript", 0, 0, 0, 54, 0, 11, 3, 68
"d:\typescript-algorithms\src\leetcode\top\20. Valid Parentheses\firstSubmission.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 1, 22
"d:\typescript-algorithms\src\leetcode\top\200. Number of Islands\finalSubmission.ts", "TypeScript", 0, 0, 0, 70, 0, 0, 9, 79
"d:\typescript-algorithms\src\leetcode\top\200. Number of Islands\firstSubmission.ts", "TypeScript", 0, 0, 0, 29, 0, 0, 4, 33
"d:\typescript-algorithms\src\leetcode\top\202. Happy Number\firstSubmission.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 1, 14
"d:\typescript-algorithms\src\leetcode\top\204. Count Primes\finalSubmission.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 1, 14
"d:\typescript-algorithms\src\leetcode\top\204. Count Primes\firstSubmission.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 2, 17
"d:\typescript-algorithms\src\leetcode\top\206. Reverse Linked List\ListNode.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 1, 9
"d:\typescript-algorithms\src\leetcode\top\206. Reverse Linked List\firstSubmisison.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 2, 13
"d:\typescript-algorithms\src\leetcode\top\207. Course Schedule\firstSubmission.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 1, 34
"d:\typescript-algorithms\src\leetcode\top\208. Implement Trie (Prefix Tree)\firstSubmission.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 5, 39
"d:\typescript-algorithms\src\leetcode\top\21. Merge Two Sorted Lists\ListNode.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 1, 11
"d:\typescript-algorithms\src\leetcode\top\21. Merge Two Sorted Lists\firstSubmission.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 2, 22
"d:\typescript-algorithms\src\leetcode\top\210. Course Schedule II\firstSubmission.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 1, 40
"d:\typescript-algorithms\src\leetcode\top\212. Word Search II\firstSubmission.ts", "TypeScript", 0, 0, 0, 47, 0, 0, 6, 53
"d:\typescript-algorithms\src\leetcode\top\215. Kth Largest Element in an Array\finalSubmission.ts", "TypeScript", 0, 0, 0, 67, 0, 0, 6, 73
"d:\typescript-algorithms\src\leetcode\top\215. Kth Largest Element in an Array\firstSubmission.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 2, 33
"d:\typescript-algorithms\src\leetcode\top\217. Contains Duplicate\firstSubmission.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 1, 11
"d:\typescript-algorithms\src\leetcode\top\22. Generate Parentheses\firstSubmission.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 1, 18
"d:\typescript-algorithms\src\leetcode\top\227. Basic Calculator II\firstSubmission.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 1, 35
"d:\typescript-algorithms\src\leetcode\top\23. Merge k Sorted Lists\ListNode.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 1, 11
"d:\typescript-algorithms\src\leetcode\top\23. Merge k Sorted Lists\firstSubmission.ts", "TypeScript", 0, 0, 0, 69, 0, 12, 8, 89
"d:\typescript-algorithms\src\leetcode\top\230. Kth Smallest Element in a BST\TreeNode.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 1, 11
"d:\typescript-algorithms\src\leetcode\top\230. Kth Smallest Element in a BST\finalSubmission.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 6, 49
"d:\typescript-algorithms\src\leetcode\top\230. Kth Smallest Element in a BST\firstSubmission.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 3, 24
"d:\typescript-algorithms\src\leetcode\top\234. Palindrome Linked List\ListNode.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 1, 9
"d:\typescript-algorithms\src\leetcode\top\234. Palindrome Linked List\firstSubmission.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 2, 33
"d:\typescript-algorithms\src\leetcode\top\236. Lowest Common Ancestor of a Binary Tree\TreeNode.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 1, 11
"d:\typescript-algorithms\src\leetcode\top\236. Lowest Common Ancestor of a Binary Tree\firstSubmission.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 2, 42
"d:\typescript-algorithms\src\leetcode\top\237. Delete Node in a Linked List\ListNode.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 1, 9
"d:\typescript-algorithms\src\leetcode\top\237. Delete Node in a Linked List\finalSubmission.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 2, 7
"d:\typescript-algorithms\src\leetcode\top\237. Delete Node in a Linked List\firstSubmission.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 2, 13
"d:\typescript-algorithms\src\leetcode\top\238. Product of Array Except Self\firstSubmission.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 1, 17
"d:\typescript-algorithms\src\leetcode\top\239. Sliding Window Maximum\firstSubmission.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 3, 28
"d:\typescript-algorithms\src\leetcode\top\240. Search a 2D Matrix II\firstSubmission.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 4, 20
"d:\typescript-algorithms\src\leetcode\top\242. Valid Anagram\firstSubmission.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 1, 4
"d:\typescript-algorithms\src\leetcode\top\242. Valid Anagram\secondSubmission.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 2, 25
"d:\typescript-algorithms\src\leetcode\top\26. Remove Duplicates from Sorted Array\firstSubmission.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 1, 13
"d:\typescript-algorithms\src\leetcode\top\268. Missing Number\finalSubmission.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 1, 6
"d:\typescript-algorithms\src\leetcode\top\268. Missing Number\firstSubmission.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 2, 12
"d:\typescript-algorithms\src\leetcode\top\279. Perfect Squares\firstSubmission.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 1, 12
"d:\typescript-algorithms\src\leetcode\top\28. Implement strStr()\firstSubmission.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 1, 22
"d:\typescript-algorithms\src\leetcode\top\283. Move Zeroes\firstSubmission.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 1, 13
"d:\typescript-algorithms\src\leetcode\top\287. Find the Duplicate Number\firstSubmission.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 2, 16
"d:\typescript-algorithms\src\leetcode\top\289. Game of Life\firstSubmission.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 2, 37
"d:\typescript-algorithms\src\leetcode\top\29. Divide Two Integers\firstSubmission.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 1, 32
"d:\typescript-algorithms\src\leetcode\top\297. Serialize and Deserialize Binary Tree\TreeNode.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 1, 11
"d:\typescript-algorithms\src\leetcode\top\297. Serialize and Deserialize Binary Tree\firstSubmission.ts", "TypeScript", 0, 0, 0, 45, 0, 3, 3, 51
"d:\typescript-algorithms\src\leetcode\top\3. Longest Substring Without Repeating Characters\firstSubmission.ts", "TypeScript", 0, 0, 0, 27, 0, 0, 2, 29
"d:\typescript-algorithms\src\leetcode\top\300. Longest Increasing Subsequence\firstSubmission.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 1, 17
"d:\typescript-algorithms\src\leetcode\top\322. Coin Change\firstSubmission.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 2, 12
"d:\typescript-algorithms\src\leetcode\top\324. Wiggle Sort II\firstSubmission.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 1, 16
"d:\typescript-algorithms\src\leetcode\top\326. Power of Three\finalSubmission.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 1, 4
"d:\typescript-algorithms\src\leetcode\top\326. Power of Three\firstSubmission.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 1, 8
"d:\typescript-algorithms\src\leetcode\top\328. Odd Even Linked List\ListNode.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 1, 9
"d:\typescript-algorithms\src\leetcode\top\328. Odd Even Linked List\firstSubmission.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 2, 19
"d:\typescript-algorithms\src\leetcode\top\34. Find First and Last Position of Element in Sorted Array\firstSubmission.ts", "TypeScript", 0, 0, 0, 20, 0, 1, 2, 23
"d:\typescript-algorithms\src\leetcode\top\36. Valid Sudoku\firstSubmission.ts", "TypeScript", 0, 0, 0, 51, 0, 0, 4, 55
"d:\typescript-algorithms\src\leetcode\top\38. Count and Say\firstSubmission.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 1, 21
"d:\typescript-algorithms\src\leetcode\top\384. Shuffle an Array\firstSubmission.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 3, 23
"d:\typescript-algorithms\src\leetcode\top\384. Shuffle an Array\secondSubmission.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 3, 23
"d:\typescript-algorithms\src\leetcode\top\387. First Unique Character in a String\firstSubmission.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 1, 17
